code,date,dlret_pct
us.10001,2017-08-03,0.0
us.10002,2013-02-15,1.0906
us.10025,2017-01-20,0.2556
us.10042,2008-03-18,-3.2914
us.10051,2022-10-03,51.637699999999995
us.10056,2006-10-06,0.7274
us.10078,2010-01-26,0.10540000000000001
us.10085,2006-04-04,0.0
us.10092,2010-05-28,8.1303
us.10100,2013-03-22,-11.6719
us.10116,2017-02-22,-3.2258
us.10119,2007-09-27,-0.045399999999999996
us.10137,2011-02-25,2.2253
us.10143,2010-06-08,0.0174
us.10147,2016-09-06,1.2050999999999998
us.10151,2015-08-07,-0.1928
us.10163,2012-05-14,0.1805
us.10180,2020-05-29,-16.666700000000002
us.10182,2020-06-29,0.06899999999999999
us.10201,2021-05-14,0.3311
us.10205,2010-11-30,0.3628
us.10211,2006-02-28,-0.5276000000000001
us.10223,2014-03-27,0.9852
us.10225,2014-04-30,0.0359
us.10232,2022-05-13,0.0867
us.10238,2008-02-15,7.3687000000000005
us.10239,2021-05-28,0.0
us.10259,2018-08-24,-8.7049
us.10271,2008-09-03,0.1001
us.10272,2012-01-27,0.0
us.10290,2012-04-30,0.1001
us.10297,2017-01-13,-0.6
us.10299,2017-03-10,0.3209
us.10302,2020-04-15,0.12589999999999998
us.10304,2010-04-23,-84.8101
us.10324,2011-04-08,0.19669999999999999
us.10342,2006-03-22,5.3479
us.10353,2016-03-31,-3.1926
us.10362,2006-04-10,-1.9608
us.10363,2020-11-13,0.0
us.10371,2010-01-05,1.4969
us.10375,2019-07-31,-2.1349
us.10383,2008-05-08,1.8899
us.10395,2019-05-22,0.0572
us.10404,2010-12-14,0.0728
us.10488,2006-03-31,4.1237
us.10507,2014-09-30,0.1451
us.10514,2023-06-09,-23.5353
us.10530,2023-01-30,0.0883
us.10560,2007-10-26,1.8673
us.10562,2009-01-29,1.7611
us.10563,2010-01-11,-43.2624
us.10568,2011-08-29,-0.2849
us.10574,2008-07-22,-0.0674
us.10586,2008-06-02,0.1852
us.10597,2010-02-24,0.40159999999999996
us.10623,2007-09-21,0.41989999999999994
us.10638,2010-04-09,-1.7094000000000003
us.10644,2013-10-29,0.45659999999999995
us.10650,2006-01-03,-1.1877
us.10656,2019-04-02,-18.215600000000002
us.10657,2007-03-02,0.0
us.10659,2015-08-19,-1.6324999999999998
us.10661,2024-02-16,-40.6818
us.10667,2016-06-01,1.3121
us.10682,2007-02-05,1.0691000000000002
us.10709,2008-04-01,0.1669
us.10769,2012-11-09,3.5059
us.10781,2023-09-14,-13.25
us.10785,2010-01-27,0.21320000000000003
us.10822,2011-01-27,8.0822
us.10825,2010-09-30,1.7606
us.10838,2019-06-03,38.709700000000005
us.10843,2007-08-06,-2.161
us.10853,2016-01-29,0.8545
us.10881,2007-04-03,-25.5319
us.10886,2024-10-02,48.0853
us.10909,2022-06-07,0.0843
us.10913,2018-08-20,2.8911
us.10916,2007-11-16,-4.0914
us.10924,2009-02-06,9.0909
us.10926,2006-12-08,0.0785
us.10937,2006-08-31,1.0204
us.10942,2013-02-04,1.369
us.10952,2022-08-22,0.0
us.10974,2008-02-14,-3.5088
us.10984,2006-03-13,0.0
us.10994,2009-10-19,-9.6774
us.11003,2018-08-10,-3.2075
us.11038,2012-08-24,0.0
