code,permno,ticker,name,exchcd,shrcd,first_date,last_date,active,included,dlstcd
us.10001,10001,EGAS,GAS NATURAL INC,2,11,2006-01-03,2017-08-03,False,True,233
us.10002,10002,BTFG,BANCTRUST FINANCIAL GROUP INC,3,11,2006-01-03,2013-02-15,False,True,231
us.10025,10025,AEPI,A E P INDUSTRIES INC,3,11,2006-01-03,2017-01-20,False,True,241
us.10026,10026,JJSF,J & J SNACK FOODS CORP,3,11,2006-01-03,2024-12-31,True,True,100
us.10028,10028,ELA,ENVELA CORP,2,11,2006-01-03,2024-12-31,True,True,100
us.10032,10032,PLXS,PLEXUS CORP,3,11,2006-01-03,2024-12-31,True,True,100
us.10042,10042,CAU,CANYON RESOURCES CORP,2,11,2006-01-03,2008-03-18,False,True,232
us.10044,10044,RMCF,ROCKY MOUNTAIN CHOC FAC INC NEW,3,11,2006-01-03,2024-12-31,True,True,100
us.10051,10051,HNGR,HANGER INC,1,11,2006-01-03,2022-09-30,False,True,233
us.10056,10056,NMIL,NEWMIL BANCORP INC,3,11,2006-01-03,2006-10-06,False,True,231
us.10065,10065,ADX,ADAMS EXPRESS CO,1,14,2006-01-03,2024-12-31,True,True,100
us.10066,10066,FKWL,FRANKLIN WIRELESS CORP,3,11,2021-03-30,2024-12-31,True,True,100
us.10078,10078,JAVA,SUN MICROSYSTEMS INC,3,11,2006-01-03,2010-01-26,False,True,233
us.10085,10085,UCI,U I C I,1,11,2006-01-03,2006-04-04,False,True,233
us.10092,10092,KDE,4 KIDS ENTERTAINMENT INC,1,11,2006-01-03,2010-05-28,False,True,560
us.10100,10100,ALRN,AMERICAN LEARNING CORP NY,3,11,2006-01-03,2013-03-22,False,True,552
us.10104,10104,ORCL,ORACLE CORP,1,11,2006-01-03,2024-12-31,True,True,100
us.10107,10107,MSFT,MICROSOFT CORP,3,11,2006-01-03,2024-12-31,True,True,100
us.10113,10113,AADR,ADVISORSHARES TRUST,3,73,2010-07-22,2024-12-31,True,False,100
us.10116,10116,ACUR,ACURA PHARMACEUTICALS INC,3,11,2008-02-05,2017-02-22,False,True,551
us.10119,10119,TW,21ST CENTURY INSURANCE GROUP,1,11,2006-01-03,2007-09-27,False,True,233
us.10137,10137,AYE,ALLEGHENY ENERGY INC,1,11,2006-01-03,2011-02-25,False,True,231
us.10138,10138,TROW,T ROWE PRICE GROUP INC,3,11,2006-01-03,2024-12-31,True,True,100
us.10143,10143,OSIP,O S I PHARMACEUTICALS INC,3,11,2006-01-03,2010-06-08,False,True,233
us.10145,10145,HON,HONEYWELL INTERNATIONAL INC,3,11,2006-01-03,2024-12-31,True,True,100
us.10147,10147,EMC,E M C CORP MA,1,11,2006-01-03,2016-09-06,False,True,241
us.10151,10151,AGLS,ADVISORSHARES TRUST,4,73,2010-07-12,2015-08-07,False,False,450
us.10158,10158,AMRC,AMERESCO INC,1,11,2010-07-23,2024-12-31,True,True,100
us.10163,10163,XRIT,X RITE INC,3,11,2006-01-03,2012-05-14,False,True,233
us.10180,10180,AKRX,AKORN INC,3,11,2006-01-03,2020-05-29,False,True,574
us.10182,10182,TECD,TECH DATA CORP,3,11,2006-01-03,2020-06-29,False,True,233
us.10200,10200,RGEN,REPLIGEN CORP,3,11,2006-01-03,2024-12-31,True,True,100
us.10201,10201,AT,ATLANTIC POWER CORP,1,12,2010-07-26,2021-05-14,False,True,233
us.10205,10205,LSBX,L S B CORP,3,11,2006-01-03,2010-11-30,False,True,233
us.10207,10207,FUND,SPROTT FOCUS TRUST INC,3,14,2006-01-03,2024-12-31,True,True,100
us.10211,10211,WES,WESTCORP INC,1,11,2006-01-03,2006-02-28,False,True,231
us.10220,10220,BWXT,B W X TECHNOLOGIES INC,1,11,2010-08-03,2024-12-31,True,True,100
us.10223,10223,CIS,CAMELOT INFORMATION SYSTEMS INC,1,31,2010-07-22,2014-03-27,False,False,233
us.10225,10225,BEAM,BEAM INC,1,11,2006-01-03,2014-04-30,False,True,233
us.10232,10232,ESBK,ELMIRA SAVINGS BANK NY,3,11,2006-01-04,2022-05-13,False,True,233
us.10238,10238,GLK,GREAT LAKES BANCORP INC NEW,1,11,2006-01-03,2008-02-15,False,True,241
us.10239,10239,PTVCB,PROTECTIVE INSURANCE CORP,3,11,2006-01-03,2021-05-28,False,True,233
us.10252,10252,INDB,INDEPENDENT BANK CORP MA,3,11,2006-01-03,2024-12-31,True,True,100
us.10253,10253,DSS,D S S INC,2,11,2006-01-03,2024-12-31,True,True,100
us.10257,10257,DLHC,D L H HOLDINGS CORP,3,11,2006-01-03,2024-12-31,True,True,100
us.10258,10258,CLDX,CELLDEX THERAPEUTICS INC,3,11,2006-01-03,2024-12-31,True,True,100
us.10259,10259,SIGM,SIGMA DESIGNS INC,3,11,2006-01-03,2018-08-24,False,True,570
us.10271,10271,MASB,MASSBANK CORP,3,11,2006-01-03,2008-09-03,False,True,233
us.10272,10272,TKLC,TEKELEC,3,11,2006-01-03,2012-01-27,False,True,233
us.10290,10290,HGIC,HARLEYSVILLE GROUP INC,3,11,2006-01-03,2012-04-30,False,True,233
us.10294,10294,HVTA,HAVERTY FURNITURE COS INC,1,11,2006-01-03,2024-12-31,True,True,100
us.10297,10297,LSBG,LAKE SUNAPEE BANK GROUP,3,11,2006-01-03,2017-01-13,False,True,231
us.10299,10299,LLTC,LINEAR TECHNOLOGY CORP,3,11,2006-01-03,2017-03-10,False,True,241
us.10302,10302,CY,CYPRESS SEMICONDUCTOR CORP,3,11,2006-01-03,2020-04-15,False,True,233
us.10304,10304,AMFI,AMCORE FINANCIAL INC,3,11,2006-01-03,2010-04-23,False,True,574
us.10308,10308,TMP,TOMPKINS FINANCIAL CORP,2,11,2006-01-03,2024-12-31,True,True,100
us.10318,10318,BCPC,BALCHEM CORP,3,11,2006-01-03,2024-12-31,True,True,100
us.10324,10324,GENZ,GENZYME CORP,3,11,2006-01-03,2011-04-08,False,True,261
us.10333,10333,XOMA,XOMA ROYALTY CORP,3,11,2006-01-03,2024-12-31,True,True,100
us.10342,10342,IMDC,INAMED CORP,3,11,2006-01-03,2006-03-22,False,True,231
